id_vuelo,probabilidad,demora
20651,0.33742537534423744,1
12042,0.41372971257990443,1
18669,0.20107865741119593,0
11115,0.30706193838222284,1
23903,0.1663053246438979,0
21964,0.20269696364054482,0
21073,0.5434919529975871,1
13003,0.30743679018147696,1
29772,0.4730373653891724,1
18116,0.20297248447198218,0
13526,0.5136370870758413,1
17880,0.3499184979054197,1
26442,0.1503777062099407,0
26297,0.2628103226960839,0
22567,0.22392146273913568,0
15253,0.20750636346754917,0
29394,0.43607494934521884,1
26797,0.8484495145551804,1
18095,0.48013304798013,1
10323,0.30677617585028977,1
19924,0.32243150741464466,1
17460,0.7355192050663274,1
29025,0.48810980377303137,1
27554,0.1547995664795955,0
19120,0.38981727196382177,1
26422,0.4862955793315219,1
26061,0.22364404454850176,0
20121,0.5369807024186788,1
29056,0.3722873955740903,1
13650,0.2277834014923764,0
13942,0.2818226944894952,0
27881,0.30170354742655814,0
26676,0.16021179116896428,0
22631,0.27392339574599106,0
21444,0.301101332291862,0
22158,0.13109433951886434,0
23836,0.2982368133448172,0
13435,0.20220296752568664,0
28740,0.25085371639690374,0
27408,0.674109367000316,1
25441,0.3749522163998621,1
20407,0.42350613463400494,1
16518,0.5313663781364873,1
10972,0.34750667433787147,1
26488,0.1815499475218133,0
29731,0.48274601684015656,1
23138,0.26620851301687665,0
13670,0.27396389545198435,0
25984,0.15973966208427332,0
14059,0.22690400674019823,0
24977,0.13964908665127898,0
25699,0.36882529289870536,1
23830,0.23964510089102845,0
23420,0.3204285579315453,1
10961,0.22080881473092928,0
27745,0.16150740533978994,0
19865,0.416848710234459,1
21264,0.23054919286090975,0
25783,0.15221081381795437,0
27197,0.17124199998806858,0
17555,0.22276954555618603,0
20499,0.3412308128441411,1
27060,0.6103656213620132,1
27929,0.2544189800039766,0
17086,0.33018452712150353,1
24754,0.4725141493544429,1
14520,0.561224592611197,1
13025,0.43734497825245766,1
22122,0.5905077893574215,1
28495,0.25800639483926013,0
15484,0.7001089301239573,1
11420,0.15310444815073226,0
16210,0.4863985373680873,1
20743,0.24684195270019904,0
26144,0.654963652865501,1
27618,0.5101709725602553,1
24569,0.25667639798056957,0
10981,0.2751407241423552,0
12784,0.24990961150889643,0
17714,0.24398697402631608,0
21519,0.33905005683716766,1
18601,0.2380614445107635,0
21641,0.21886431039352708,0
28831,0.21232791882584479,0
22563,0.3409450965481603,1
22752,0.18572804116201277,0
16385,0.3432497694752832,1
14808,0.32054859263003443,1
16196,0.33092782063172566,1
20649,0.112336589538548,0
17568,0.3739159020690191,1
26398,0.3844872166158549,1
27525,0.2975879694250682,0
11347,0.3585271716742456,1
23125,0.2810745278461837,0
22674,0.286968734155945,0
25456,0.22736138286950516,0
24002,0.5215048289138694,1
28622,0.1151763462422598,0
12120,0.328490929659887,1
25305,0.28077323244920976,0
14310,0.20124163983159346,0
14485,0.16728688430194136,0
21014,0.2235223301800729,0
14771,0.21988867069452947,0
12713,0.3829378480749821,1
22187,0.351568372368432,1
26616,0.1689593643632967,0
20948,0.22828208815236434,0
12546,0.49513254177813243,1
22620,0.4653903329700631,1
19852,0.19730155510206826,0
14411,0.5274501451196778,1
29648,0.17480051783556352,0
22345,0.5148809747357012,1
22408,0.2821459700181393,0
19611,0.45757333755004187,1
20719,0.2982197658223886,0
17572,0.5315306275518729,1
13571,0.5242842177622536,1
18603,0.34653179216280033,1
13560,0.4204460616970454,1
14992,0.2492032758496708,0
17440,0.41451086435698703,1
19326,0.26531349223958345,0
12301,0.4314713032837704,1
17667,0.4678065803650348,1
15805,0.2981275420426966,0
22023,0.34852227912242056,1
25538,0.28664986284852323,0
19758,0.2466123318505873,0
22015,0.1876280388937862,0
15212,0.188881206020793,0
21549,0.5115683899274851,1
22367,0.2797577543662005,0
19271,0.5344621731473788,1
13976,0.3580475145218977,1
26091,0.16855734054409188,0
27233,0.36127038100483666,1
27444,0.45616486354889624,1
23657,0.6516230596416914,1
25646,0.4039258993033645,1
12731,0.2267085164186286,0
13299,0.3481166611934193,1
18957,0.43656431256319567,1
27411,0.3866353401385432,1
