id_cliente,cluster
1,1
2,0
3,0
4,0
5,0
6,2
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
17,1
18,0
19,0
20,2
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,0
35,0
36,1
38,0
39,2
40,2
41,1
42,0
43,2
44,0
45,1
46,2
47,0
48,2
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,0
62,1
63,0
64,0
66,1
67,0
68,0
69,0
71,0
73,1
74,0
75,0
77,0
78,0
79,1
80,1
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,2
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,2
110,0
111,0
112,2
115,0
116,1
117,0
118,2
120,0
121,1
122,0
123,1
124,1
125,2
126,2
127,2
128,0
129,0
130,0
131,1
132,0
133,0
134,0
136,2
137,0
138,0
140,0
141,0
142,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,2
169,0
170,0
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
189,0
190,0
191,2
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,2
205,0
206,1
207,0
208,0
209,0
210,0
212,1
213,1
214,0
215,2
216,1
217,2
218,2
219,0
220,0
221,0
222,0
224,1
225,0
226,2
227,2
228,0
229,0
230,0
231,0
232,0
233,0
234,0
236,2
239,0
240,1
241,0
244,0
245,0
246,0
248,0
249,0
250,1
251,0
253,2
254,0
256,0
257,0
258,2
259,0
260,0
261,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,2
271,1
272,0
273,0
274,0
275,0
276,2
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
287,0
288,2
289,0
290,0
291,1
293,1
295,0
296,0
298,2
299,2
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,2
315,0
316,0
317,0
318,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,2
330,0
331,0
332,1
333,0
334,0
335,0
336,1
337,2
338,0
339,0
340,0
341,0
342,0
343,2
344,0
345,0
346,2
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,0
359,0
360,2
362,0
363,1
364,0
365,0
367,1
368,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,1
382,0
383,0
384,0
385,2
386,0
387,0
388,0
389,0
391,0
392,0
395,0
396,0
398,0
399,0
400,2
401,0
402,0
403,0
404,0
405,2
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,1
420,0
421,0
422,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,2
438,0
439,1
440,0
441,0
442,0
443,1
444,0
445,0
446,0
447,0
449,0
450,2
451,1
452,0
453,0
454,0
455,0
456,0
457,1
458,2
459,0
460,0
461,1
463,0
464,0
465,0
466,1
467,0
468,2
470,0
471,1
472,0
473,0
475,0
476,0
477,0
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,2
488,0
489,0
490,0
491,0
493,0
494,0
495,0
496,0
498,1
499,0
500,0
501,2
502,0
503,0
504,0
505,0
507,0
509,0
510,0
511,0
513,2
514,1
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,2
526,1
527,1
528,0
529,0
530,1
531,2
532,0
533,1
535,0
536,2
537,0
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,2
550,0
552,0
553,0
554,0
555,0
556,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
570,0
571,0
572,2
573,2
574,1
576,2
577,0
578,0
579,0
580,0
581,1
582,0
583,0
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,0
598,0
599,0
600,0
601,2
602,0
603,0
604,1
605,0
606,1
607,1
609,0
610,2
612,1
613,0
614,0
618,2
619,1
620,1
621,0
622,0
623,0
625,2
626,0
628,2
629,0
630,0
631,0
633,0
634,0
635,0
636,0
637,0
638,0
639,1
642,0
643,0
644,2
645,0
646,0
647,0
648,0
650,1
651,0
652,0
653,2
654,1
655,0
657,0
658,2
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
676,0
677,0
678,1
680,0
682,2
683,0
684,0
685,0
686,0
687,2
688,0
689,0
690,0
691,0
692,0
694,1
695,0
696,1
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,1
706,1
707,1
708,0
709,0
710,0
711,2
712,0
713,1
714,0
715,1
717,0
719,0
720,0
722,0
723,0
724,1
725,0
726,0
727,0
728,0
729,1
730,1
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,1
743,0
745,2
746,1
747,0
748,0
749,0
750,0
751,1
752,1
753,0
754,1
755,0
756,0
757,2
758,0
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
779,1
780,2
781,0
782,0
783,1
784,0
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
798,0
799,0
800,1
801,0
802,0
805,0
806,0
808,0
809,0
810,1
811,0
812,0
813,0
814,2
815,0
816,0
817,1
818,0
819,0
821,0
822,0
823,2
824,0
825,2
826,0
827,0
828,2
829,0
831,0
832,0
833,0
834,0
835,0
836,1
837,1
838,0
840,0
842,0
843,0
844,0
845,1
846,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,1
856,1
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,0
876,2
877,0
878,0
879,1
880,0
881,0
882,0
883,0
884,1
885,1
886,0
887,0
889,0
890,0
891,0
892,0
893,1
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,1
908,0
909,2
910,1
911,0
912,1
913,0
914,0
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
926,0
927,1
928,1
929,0
930,0
931,0
932,2
933,0
934,0
935,2
936,0
937,0
938,0
941,0
943,2
944,0
