distancia_vuelo,ocupacion_vuelo,puerta_embarque,visibilidad,tiempo_estimado_vuelo,condiciones_climaticas_Lluvia,condiciones_climaticas_Niebla,condiciones_climaticas_Nublado,condiciones_climaticas_Tormenta,congestion_aerea_Baja,congestion_aerea_Media,tipo_avion_Airbus A320,tipo_avion_Airbus A320neo,tipo_avion_Airbus A330,tipo_avion_Airbus A350,tipo_avion_Boeing 737,tipo_avion_Boeing 737 MAX,tipo_avion_Boeing 757,tipo_avion_Boeing 777,tipo_avion_Boeing 787,tipo_avion_Embraer E190,tipo_avion_Embraer E195,temporada_alta_True,demora
0.0226928895612708,0.4812362030905077,0.9166666666666666,0.40268456375838924,0.034974093264248704,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.11043872919818457,0.49889624724061815,0.20833333333333331,0.3523489932885906,0.13212435233160622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0.21633888048411498,0.43598233995584995,0.12499999999999999,0.026845637583892617,0.21891191709844562,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0.09833585476550681,0.6490066225165564,0.2916666666666667,0.5234899328859061,0.10233160621761658,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.5007564296520424,0.913907284768212,0.7291666666666666,0.7651006711409396,0.5064766839378239,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.38275340393343416,0.6942604856512141,0.4791666666666667,0.4731543624161074,0.3743523316062176,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02773575390821987,0.782560706401766,0.020833333333333332,0.04697986577181208,0.050518134715025906,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.383761976802824,0.26048565121412803,0.6041666666666666,0.23154362416107382,0.3924870466321244,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.28593040847201207,0.6357615894039735,0.375,0.6543624161073825,0.2862694300518135,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.7226424609178013,0.46799116997792495,0.12499999999999999,0.8389261744966443,0.7124352331606217,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.4553706505295007,0.5916114790286976,0.9791666666666666,0.6409395973154363,0.4455958549222798,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.02773575390821987,0.6743929359823401,0.9374999999999999,0.8993288590604027,0.05699481865284975,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.06908724155320223,0.7064017660044152,0.5833333333333333,0.050335570469798654,0.06865284974093265,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.15279878971255673,0.3443708609271523,0.4791666666666667,0.9395973154362416,0.1645077720207254,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.060010085728693895,0.5894039735099339,0.4166666666666667,0.6174496644295303,0.08160621761658031,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.017650025214321734,0.6390728476821192,0.2708333333333333,0.325503355704698,0.040155440414507776,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2637418053454362,0.511037527593819,0.9166666666666666,0.16107382550335572,0.26036269430051817,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.28593040847201207,0.6070640176600443,0.7291666666666666,0.05369127516778524,0.2914507772020726,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0010085728693898129,0.4536423841059603,0.8749999999999999,0.42953020134228187,0.012953367875647673,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
