distancia_vuelo,ocupacion_vuelo,visibilidad,tiempo_estimado_vuelo,aeropuerto_origen_ASU,aeropuerto_origen_BAQ,aeropuerto_origen_BGA,aeropuerto_origen_BOG,aeropuerto_origen_BRC,aeropuerto_origen_BSB,aeropuerto_origen_CCS,aeropuerto_origen_CDG,aeropuerto_origen_CLO,aeropuerto_origen_CLT,aeropuerto_origen_COR,aeropuerto_origen_CTG,aeropuerto_origen_CWB,aeropuerto_origen_EZE,aeropuerto_origen_FLN,aeropuerto_origen_GIG,aeropuerto_origen_GRU,aeropuerto_origen_GUA,aeropuerto_origen_IAH,aeropuerto_origen_IGR,aeropuerto_origen_JFK,aeropuerto_origen_LIM,aeropuerto_origen_MAD,aeropuerto_origen_MDE,aeropuerto_origen_MDZ,aeropuerto_origen_MEX,aeropuerto_origen_MIA,aeropuerto_origen_MVD,aeropuerto_origen_NQN,aeropuerto_origen_PEI,aeropuerto_origen_POA,aeropuerto_origen_PTY,aeropuerto_origen_ROS,aeropuerto_origen_SCL,aeropuerto_origen_SJO,aeropuerto_origen_SSA,aeropuerto_origen_TUC,aeropuerto_origen_UIO,aeropuerto_destino_ASU,aeropuerto_destino_BAQ,aeropuerto_destino_BGA,aeropuerto_destino_BOG,aeropuerto_destino_BRC,aeropuerto_destino_BSB,aeropuerto_destino_CCS,aeropuerto_destino_CDG,aeropuerto_destino_CLO,aeropuerto_destino_CLT,aeropuerto_destino_COR,aeropuerto_destino_CTG,aeropuerto_destino_CWB,aeropuerto_destino_EZE,aeropuerto_destino_FLN,aeropuerto_destino_GIG,aeropuerto_destino_GRU,aeropuerto_destino_GUA,aeropuerto_destino_IAH,aeropuerto_destino_IGR,aeropuerto_destino_JFK,aeropuerto_destino_LIM,aeropuerto_destino_MAD,aeropuerto_destino_MDE,aeropuerto_destino_MDZ,aeropuerto_destino_MEX,aeropuerto_destino_MIA,aeropuerto_destino_MVD,aeropuerto_destino_NQN,aeropuerto_destino_PEI,aeropuerto_destino_POA,aeropuerto_destino_PTY,aeropuerto_destino_ROS,aeropuerto_destino_SCL,aeropuerto_destino_SJO,aeropuerto_destino_SSA,aeropuerto_destino_TUC,aeropuerto_destino_UIO,condiciones_climaticas_Lluvia,condiciones_climaticas_Niebla,condiciones_climaticas_Nublado,condiciones_climaticas_Tormenta,congestion_aerea_Baja,congestion_aerea_Media,tipo_avion_Airbus A320,tipo_avion_Airbus A320neo,tipo_avion_Airbus A330,tipo_avion_Airbus A350,tipo_avion_Boeing 737,tipo_avion_Boeing 737 MAX,tipo_avion_Boeing 757,tipo_avion_Boeing 777,tipo_avion_Boeing 787,tipo_avion_Embraer E190,tipo_avion_Embraer E195,temporada_alta_True,franja_horaria_manana,franja_horaria_mediodia,franja_horaria_noche,franja_horaria_tarde,demora
0.0226928895612708,0.4812362030905077,0.40268456375838924,0.034974093264248704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.11043872919818457,0.49889624724061815,0.3523489932885906,0.13212435233160622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
0.21633888048411498,0.43598233995584995,0.026845637583892617,0.21891191709844562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0.09833585476550681,0.6490066225165564,0.5234899328859061,0.10233160621761658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5007564296520424,0.913907284768212,0.7651006711409396,0.5064766839378239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0.38275340393343416,0.6942604856512141,0.4731543624161074,0.3743523316062176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.02773575390821987,0.782560706401766,0.04697986577181208,0.050518134715025906,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.383761976802824,0.26048565121412803,0.23154362416107382,0.3924870466321244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
0.28593040847201207,0.6357615894039735,0.6543624161073825,0.2862694300518135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.7226424609178013,0.46799116997792495,0.8389261744966443,0.7124352331606217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
