edad,cant_vuelos,gasto_acumulado,gasto_acumulado_extra,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio,sexo_M,sexo_No binario,provincia_Atlántico,provincia_Bahia,provincia_Bolívar,provincia_Buenos Aires,provincia_CABA,provincia_Chaco,provincia_Chiriquí,provincia_Colón,provincia_Cundinamarca,provincia_Córdoba,provincia_Entre Ríos,provincia_Herrera,provincia_Los Santos,provincia_Mendoza,provincia_Minas Gerais,provincia_Misiones,provincia_Nariño,provincia_Panamá,provincia_Paraná,provincia_Pernambuco,provincia_Rio Grande do Sul,provincia_Rio de Janeiro,provincia_Salta,provincia_Santa Fe,provincia_Santander,provincia_São Paulo,provincia_Tolima,provincia_Tucumán,provincia_Valle del Cauca,provincia_Veraguas,ocupacion_Arquitecto,ocupacion_Comerciante,ocupacion_Contador,ocupacion_Deportista,ocupacion_Docente,ocupacion_Ejecutivo,ocupacion_Empleado,ocupacion_Empresario,ocupacion_Estudiante,ocupacion_Ingeniero,ocupacion_Jubilado,ocupacion_Médico,ocupacion_Otro,ocupacion_Profesional independiente,clase_preferida_Ejecutiva,clase_preferida_Primera clase,programaMillas_Sí,canal_compra_Agencia,canal_compra_App,canal_compra_Web
-1.2045539046643108,0.24940149359085398,-0.06880658280217897,0.13528303739002784,0.5250297198343329,-0.4486053629289233,-0.7901673091352596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0.9732848514726186,-0.0680534514860196,-0.3210800428583208,-0.22289851445096254,-0.287272941045608,0.84360541067093,0.47143438746629285,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.27637644950880114,-0.4489993855782679,-0.3004027865169423,-0.16438056820050517,-0.287272941045608,-0.38882242846964654,-0.1827294552159936,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.6401216558916967,-0.5124903745936427,-0.308538798935537,-0.2080463970636914,-0.287272941045608,-0.5821911235569531,1.2657761964376406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.5947590529459706,-0.0680534514860196,-0.06724545879102288,-0.0685159866635596,-0.287272941045608,-0.03594439940471222,0.284530432414211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.6701932534364359,0.5668564386677276,-0.045773170705548955,0.1217792829633898,-0.287272941045608,0.07965357563380075,-0.6967153316092186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-1.7272352061371739,-0.5124903745936427,-0.15308396704810776,0.10165446265543439,-0.287272941045608,-0.5888042800236872,0.09762647736212916,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.5076455027004935,-0.8299453196705162,-0.48576656791985745,-0.43606564235790324,-0.20091292394164526,-0.4591864132756979,-0.04255148892693222,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.3217390524545272,-0.3855083965628932,-0.3291782731818978,-0.21299207165437148,-0.287272941045608,-0.09123038746660972,-0.83689329789828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.9432132539278794,-0.7664543306551416,-0.4626101630458294,-0.45677911365986634,-0.287272941045608,0.011405800897104308,-0.6499893428461982,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
